AROUND PUDDINGSTONE - B ROUTE 
34.8 MI
http://veloroutes.org/r/92543	

S	PRIMROSE AV
L	CHESTNUT AV
R	CANYON BL
L	ALMOND AV
R	CALIFORNIA AV
L	MYRTLE AV
L	LONGDEN AV
STOP AND REGROUP	
L	LIVE OAK AV
R	LIVE OAK AV
R	MAINE AV
STOP AND REGROUP	
L	OLIVE ST
R	AZUSA CYN RD
L	SAN BERNARDINO RD
Q R	ORANGE AV
STOP AND REGROUP	
L	BADILLO ST
STOP	COVINA PARK AT 4th AVE
	RESTROOMS
E	BADILLO ST
INTO	COVINA AV
INTO	CATARACT AV
R	ARROW HWY
R	SAN DIMAS AV
STOP AND REGROUP	
R	VIA VERDE
R	PUENTE ST
INTO	REEDER AV
L	OLD BADILLO ST
STOP AND REGROUP	
INTO	BADILLO ST
L	BARRANCA AV
R	PUENTE AV
L	LARK ELLEN AV
R	GARVEY AV
STOP AND REGROUP	
INTO	GLENDORA AV
R	W COVINA PKWY
L	CALIFORNIA AV
Q R	STRIP MALL
STOP	PANERA BAKERY
	1036 WEST COVINA PKWY
W	WEST COVINA PKWY
INTO	PACIFIC AV
INTO	MAINE AV
L	ARROW HWY
STOP AND REGROUP	
R	AVENIDA BARBOSA
R	BUENA VISTA ST
L	ROYAL OAKS DR
R	CALIFORNIA AV
L	COLORADO BL
R	PRIMROSE AV
