CARBON CANYON - A ROUTE 
60.7 MI
http://veloroutes.org/r/91500	

S	MYRTLE AV
INTO	PECK RD
R	DURFEE AV
STOP AND REGROUP	
INTO	PECK RD
INTO	WORKMAN MILL RD
INTO	NORWALK BL
STOP AND REGROUP	
L	WHITTIER BL
R	SCOTT AV
STOP PARNELL PARK	
	AT LAMBERT RD
E	LAMBERT RD
INTO	CARBON CANYON RD
STOP AND REGROUP	
E	CARBON CANYON RD
L	CHINO HILLS PKWY
L	GRAND AV
STOP  	STARBUCKS
	505-A Grand Av
N	GRAND AV
L	CAMERON AV
STOP AND REGROUP	
R	SUNSET AV
INTO	IRWINDALE AV
L	ARROW HWY
STOP AND REGROUP	
R	AVENIDA BARBOSA
INTO	BUENA VISTA ST
L	ROYAL OAKS DR
	YADA YADA
