ROC-CLAREMONT 41.6 MI
http://veloroutes.org/r/92476	
E	CHESTNUT AV
L	IVY AV
R	WALNUT AV
R	SHAMROCK AV
L	ROYAL OAKS DR
R	ENCANTO PKWY
L	BIKE BRIDGE
STOP AND REGROUP	
L	SGRBP
R	TODD AV
L	SIERRA MADRE AV
STOP AND REGROUP	
	AT VALLEY CENTER AV
R	VALLEY CENTER AV
L	FOOTHILL BL
R	AMELIA AV
L	FOOTHILL BL
STOP AND REGROUP	
L	BASELINE RD
R	INDIAN HILL BL
STOP AND REGROUP	

STOP	COFFEE BEAN & TEA
	101 N. INDIAN HILL BL
N	OBERLIN AV
L	BONITA AV
R	DAMIEN AV
STOP AND REGROUP	
L	GLADSTONE ST
R	MOTOR AV
STOP AND REGROUP	
L	1st ST
L	PECKHAM RD
R  N	BIKE PATH
L	BIKE BRIDGE
STOP AND REGROUP	
R	ENCANTO PKWY
L	ROYAL OAKS DR
R	SHAMROCK AV
L	WALNUT AV
L	IVY AV
R	CHESTNUT AV
