CLAREMONT ORIGINAL RIDE 
43 MI, 1200 + ELEV GAIN
http://www.mapmyride.com/routes/view/950340841

S	PRIMROSE AV
L	COLORADO BL
R	SHAMROCK AV
L	ROYAL OAKS DR
R	ENCANTO PKWY
L	BIKE BRIDGE (4 MILES)
	REGROUP
L	SAN GABRIEL BIKE PATH
R	TODD AV
L	SIERRA MADRE AV
R	VALLEY CENTER (10.5 MILES)
	REGROUP
L	FOOTHILL BL
R	AMELIA AV
L	FOOTHILL BL
L	BASELINE RD (14.75 MILES)
	REGROUP
R	INDIAN HILL BL (18.75 MILES)
	COFFEE AT COFFEE BEAN
	175 N. INDIAN HILL BL
W	2ND ST
R	OBERLIN AV
L	BONITA AV
L	CATARACT AV (25.75 MILES)
	REGROUP
INTO	COVINA BL
INTO	BADILLO ST
R	ORANGE AV (34 MILES)
L	SAN BERNADINO RD
R	AZUSA CANYON RD
	REGROUP
INTO	SANTA FE DAM ENTRANCE
R	SAN GABRIEL BIKE PATH
L	BIKE BRIDGE (39 MILES)
R	ENCANTO PKWY
L	ROYAL OAKS DR
R	SHAMROCK AV
L	COLORADO BL
R	PRIMROSE AV (43 MILES)
