CLAREMONT WITH A TWIST 
45 MILES 1300 FT. GAIN
https://www.mapmyride.com/routes/view/1023164851

E	CHESTNUT AV
L	IVY AV
R	WALNUT AV
R	SHAMROCK AV
L	ROYAL OAKS DR
R	ENCANTO PKWY
L	BIKE BRIDGE (4 MILES) REGROUP
L	SAN GABRIEL BIKE PATH
R	TODD AV
L	SIERRA MADRE AV
R	VALLEY CENTER (10.5 MILES) REGROUP
L	FOOTHILL BL
R	AMELIA AV
L	FOOTHILL BL
L	BASELINE RD (14.75 MILES) REGROUP
R	MILLS AV
Q L	INTO SHOPPING CENTER (19.5 MILES)
	COFFEE AT EURO CAFÉ
S	MILLS AV
L	FOOTHILL BL
R	CLAREMONT BL
R	6TH ST
L	COLLEGE AV
R	BONITA AV (22 MILES)
L	SAN DIMAS AV (27.25 MILES) REGROUP
R	ARROW HWY
L	CATARACT AV
INTO	COVINA BL
INTO	BADILLO ST
R	ORANGE AV (35.75 MILES)
L	SAN BERNARDINO RD
R	AZUSA CANYON RD
INTO	SANTA FE DAM ENTRANCE
R	SAN GABRIEL BIKE PATH
L	BIKE BRIDGE (40.75 MILES)
R	ENCANTO PKWY
L	ROYAL OAKS DR
R	SHAMROCK AV
L	WALNUT AV
L	IVY AV
R	CHESTNUT AV (45 MILES)

