wEASY ST INTO FORTUNE WAY - B ROUTE 
36.1 MI
http://veloroutes.org/r/91768	

S	PRIMROSE AVE
W	CHESTNUT ST
INTO	SANTA CLARA ST
R	HUNTINGTON DR
R	MONTEREY RD
INTO	PASADENA AVE
INTO	YORK BL
R	AV 64
R	COLORADO BL
R INTO	LINDA VISTA AVE
DO NOT GO OVER BRIDGE	
	
INTO	HIGHLAND DR
R	CHEVY CHASE DR
R	DESCANSO DR
L	BEULAH DR
L	FOOTHILL BL
Q  R	SPORTS CHALET DR
L	TOWN CENTER DR
STOP	PANERA BAKERY
E	FOOTHILL BL
R	OAK GROVE AV
L	WINDSOR AV
R	VENTURA ST
L	CASITAS AV
R	ALTADENA DR
L	NEW YORK DR
L	SIERRA MADRE BL
R	SANTA ANITA AV
L	SANTA CLARA ST
L	PRIMROSE AVE
