LA TUNA CANYON 
51.4 MI
http://veloroutes.org/r/92461	

S	PRIMROSE AV
R	CHESTNUT/SANTA CLARA
R	HUNTINGTON DR
R	MONTEREY RD
STOP AND REGROUP	
INTO	PASADENA AV
INTO	YORK BL
R	AVE 64
L	MERIDIAN ST
R	FIGUEROA ST
L	YOSEMITE DR
STOP AND REGROUP	
R	EAGLE ROCK BL
L	COLORADO BL
R	BROADWAY
INTO	WILSON AV
R	VERDUGO RD
L	GLENOAKS BL
STOP AND REGROUP	
L	GLENOAKS BL AGAIN
R	HELEN AV AT VINEDALE ST
STOP AND REGROUP	
R	PRIMROSE ST
L	WHEATLAND AV
R 	LA TUNA CANYON RD
STOP AND REGROUP	
	AT TOP OF LA TUNA
R	HONOLULU AV
R	PENNSYLVANIA AV
INTO	HONOLULU AV
STOP  	COFFEE BEAN & TEA
	AT OCEAN VIEW BL
E	HONOLULU AV
R	DESCANSO DR
STOP AND REGROUP	
R	CHEVY CHASE DR
L	BERKSHIRE AV
L	BERKSHIRE PL
R	OAK GROVE DR
INTO	WOODBURY RD
L	MAR VISTA AV
STOP AND REGROUP	
R	NEW YORK DR
L	SIERRA MADRE BL
R	ELEVADO AV
L	VIRGINIA RD
R	HIGHLAND OAKS DR
L	SYCAMORE AV
L	COLORADO AV
L	MAYFLOWER AV
R	LINWOOD AV
