LA TUNA CANYON - HONOLULU RIDE 51.75 MILES 1,900 FT. ELEV GAIN

W	CHESTNUT AV
INTO	SANTA CLARA ST
R	HUNTINGTON DR
R	MONTEREY RD (6.5 MILES)
	REGROUP
INTO	PASADENA AV
INTO	YORK BL
R	AVENUE 64
L	MERIDIAN ST
R	FIGUEROA ST
L	YOSEMITE DR (12.75 MILES)
	REGROUP
R	EAGLR ROCK BL
L	COLORADO BL
R	BROADWAY
INTO	WILSON AV
R	VERDUGO RD (16.75 MILES)
L	GLENOAKS BL
	REGROUP
L	GLENOAKS BL AT ETHEL ST (17.75 MILES)
C	GLENOAKS BL THRU BURBANK
	AND INTO SUN VALLEY
R	HELEN AV AT VINEDALE ST (26.25 MILES)
	REGROUP
R	PENROSE ST
L	WHEATLAND AV
R	LA TUNA CANYON RD
	REGROUP AT TOP OF LA TUNA CANYON
R	HONOLULU AV (32.25 MILES)
R	PENNSYLVANIA AV
INTO	HONOLLULU AV
	COFFEE BEAN & TEA AT OCEAN VIEW
E	HONOLULU AV/VERDUGO BL
R	DESCANSO DR (36.5 MILES)
	REGROUP
R	CHEVY CHASE DR
L	BERKSHIRE AV
L	BERKSHIRE PLACE
R	OAK GROVE DR (39 MILES)
INTO	WOODBURY RD
L	MAR VISTA AV (42.25 MILES)
	REGROUP
R	NEW YORK DR
L	SIERRA MADRE BL
R	ELEVADO AV
L	VIRGINIA RD
R	HIGHLAND OAKS AV
L	SYCAMORE AV
R	2ND AV
L	COLORADO BL
R	PRIMROSE AV
L	CHESTNUT AV (51.75 MILES)

