ROC-MONTROSE VIA ALLEN, LIDA 
41.9 MI
http://veloroutes.org/r/92433	

W	CHESTNUT/SANTA CLARA
R	HUNTINGTON DR
R	SUNSET BL
INTO	CALIFORNIA BL
R	ALLEN AV
STOP AND REGROUP	
L	ALTADENA DR
STOP AND REGROUP	
W	ALTADENA DR
L	CASITAS AV
R	VENTURA ST
L	WINDSOR AV
R	OAK GROVE DR
L	OVER FREEWAY
R	HIGHLAND DR
STOP AND REGROUP	
R	BERKSHIRE AV
R	CHEVY CHASE DR
L	DESCANSO DR
L	VERDUGO BL
INTO	HONOLULU AV
STOP  	COFFEE BEAN & TEA
	3701 Ocean View Montrose
E	HONOLULU AV
R	DESCANSO DR
R	CHEVY CHASE DR
L	FIGUEROA ST
L	LIDA ST
STOP AND REGROUP	
E	LIDA ST
R	LINDA VISTA AV
R	GLEN OAKS BL
STOP AND REGROUP AT SAN RAFAEL	
S	SAN RAFAEL
R	COLORADO
L	SAN RAFAEL
STAY ON SAN RAFAEL	
R	ARROYO BL/ARROYO DR
STOP AND REGROUP	
L	MISSION ST
R	EL MOLINO AV
L	MONTEREY RD
R	CAMBRIDGE RD
L	HUNTINGTON DR
INTO	SANTA CLARA/CHESTNUT
