MONTROSE VIA LIDA 
36 MILES ABOUT 1300 FT. GAIN
http://www.mapmyride.com/routes/view/1027780541

W	CHESTNUT AV
INTO	SANTA CLARA ST
R	HUNTINGTON DR
R	MONTEREY RD (6.75 MILES)
	REGROUP
INTO	PASADENA AV
R	ARROYO DR (10.25 MILES)
	REGROUP AT RODE BOWL AQUATIC CENTER
C	ARROYO DR
L	SECO ST
R	WEST DR
L	SALVIA CANYON RD
R	LINDA VISTA AV (14.25 MILES)
L	LIDA ST
	REGROUP AT TOP
R	FIGUEROA ST (15.75 MILES)
R	CHEVY CHASE DR
L	DESCANSO DR
L	VERDUGO BL
INTO	HONOLULU BL (20 MILES)
	COFFEE AT COFFEE BEAN AND TEA LEAF
	(3701 OCEAN VIEW BL)
E	HONOLULU BL
INTO 	VEDUGO BL
R	DESCANSO DR (21 MILES)
	REGROUP
R	CHEVY CHASE DR
L	BERKSHIRE AV
L	210 CROSSOVER (23.75 MILES)
	REGROUP
R	OAK GROVE DR
INTO	WOODBURY RD
L	MAR VISTA AV
	REGROUP
R	NEW YORK DR (26.75 MILES)
L	SIERRA MADRE BL
R	MICHILINDA AV
L	ORANGE GROVE AV
R	SANTA ANITA AV
L	ORANGE GROVE AV
R	HIGHLAND OAKS DR
L	SYCAMORE AV
R	2ND ST
L	COLORADO BL
R	PRIMROSE AV
L	CHESTNUT AV (BACK TO START) (36 MILES)
