PARNELL PARK & HARBOR BLVD. 
46 MILES 1,500 FT ELEV GAIN
http://www.mapmyride.com/routes/view/1142275462

S	MYRTLE AV
INTO	PECK RD
R	DURFEE AV (7 MILES)
	REGROUP
INTO	PECK RD
INTO	WORKMAN MILL RD
INTO	NORWALK BL (11.25 MILES)
	REGROUP AT BEVERLY BL
C	NORWALK BL
L	SLAUSEN AVE (14 MILES)
INTO	MULBERRY DR
L	SCOTT AV (19 MILES)
	REGROUP AT PARNELL  PARK
EAST	LAMBERT RD
L	LEFFINGWELL RD (20 MILES)
INTO	LA HABRA BL
L	HARBOR BL (23.25 MILES)
	REGROUP
NRTH	HARBOR BL
	REGROUP AT TOP OF CLIMB
C	HARBOR BL
INTO	FULLERTON RD
L	GALE AV (28.25 MILES)
	COFFEE AT STARBUCKS
	18200 GALE AV
C	GALE AV
R	AZUSA AV
L	AMAR RD (32.5 MILES)a
R	LARK ELLEN AV (33 MILES)
	REGROUP
L	BADILLO ST (36.75 MILES)
R	IRWINDALE AV
L	CYPRESS ST (38.25 MILES) 
R	AZUSA CANYON RD 
	REGROUP
L	ARROW HWY 
R	AVENIDA BARBOSA (42 MILES)
INTO	BUENA VISTA ST
L	ROYAL OAKS DR
R	SHAMROCK AV
L	COLORADO BLVD
R	PRIMROSE AV (46 MILES)
