SAN DIMAS-BONELLI PARK 
37.75 MILES 1,350 FT. GAIN


E	CHESTNUT AV
L	IVY AV
R	WALNUT AV
R	SHAMROCK AV
L	ROYAL OAKS DR
R	ENCANTO PKWY
L	BIKE BRIDGE (4 MILES)
	REGROUP
L	SAN GABRIEL BIKE PATH
R	TODD AV
L	SIERRA MADRE AV
	REGROUP AT VALLEY CENTER
R	VALLEY CENTER (10.5 MILES)
L	FOOTHILL BL
R	LONE HILL AV
L	FOOTHILL BL
L	BASELINE RD (14.75 MILES)
	REGROUP
R	FRUIT ST
R	DURWARD WAY
L	D ST
L	WALNUT ST
R	FAIRPLEX DR
L	MCKINLEY AV
R	FAIRPLEX DR
R	VIA VERDE
R	PUENTE ST/REEDER AV (23.5 MILES)
	REGROUP
L	OLD BADILLO ST/E. RENSHAW ST
R	BANNA AV
Q L	BADILLO ST
	COFFEE STARBUCKS AT GRAND AV
N	GRAND AV (26.25 MILES)
L	SAN BERNARDINO RD
R	AZUSA CANYON RD (30.75 MILES)
	REGROUP
INTO	SANTA FE DAM ENTRANCE
R	SAN GABRIEL BIKE PATH
L	BIKE BRIDGE
R	ENCANTO PKWY
L	ROYAL OAKS DR
R	SHAMROCK AV
L	WALNUT AV
L	IVY AV
R	CHESTNUT AV (37.75 MILES)

