SAN DIMAS - BONELLI PARK A ROUTE 
40.3MI
http://veloroutes.org/r/92923	

S	PRIMROSE AV
L	COLORADO BLVD
R	SHAMROCK AV
L	ROYAL OAKS DR
R	ENCANTO PKWY
L	BIKE BRIDGE
STOP AND REGROUP	
L	SGRBT
R	TODD AV
L	SIERRA MADRE AV
STOP REGROUP AT VALLEY CENTER	
R	VALLEY CENTER
L	FOOTHILL BL
R	AMELIA AV
L	FOOTHILL BL
L	BASELINE
STOP AND REGROUP	
R	WHEELER AV
L	5 th ST
STOP  KUNS PARK RESTROOMS	
S	MAGNOLIA AV
L	BONITA AV
R	WHITE AV
R	McKINLEY AV
L	FAIRPLEX DR
STOP AND REGROUP	
R	VIA VERDE 
R	PUENTE ST
STOP AND REGROUP	
INTO	REEDER AV
L	OLD BADILLO / RENSHAW
R	BANNA 
Q  L	BADILLO ST
STOP STARBUCKS AT GRAND	
	966 E BADILLO ST
N	GRAND AV
L	SAN BERNARDINO / WINGATE
R	AZUSA CYN RD
STOP AND REGROUP	
INTO	SANTA FE DAM
N	BIKE PATH 
L	BIKE BRIDGE
R	ENCANTO PKWY
L	ROYAL OAKS DR
R	SHAMROCK AV
L	COLORADO BLVD
R	PRIMROSE AV
