SAN DIMAS-BONELLI PARK B ROUTE  
35.2 MI
http://veloroutes.org/r/92544	

S	PRIMROSE AV
L	COLORADO BLVD
R	SHAMROCK AV
L	ROYAL OAKS DR
R	ENCANTO PKWY
L	BIKE BRIDGE
STOP AND REGROUP	
L	SGRBT
R	TODD AV
L	SIERRA MADRE AV
R	DALTON AV
L	11th ST
R	PASADENA AV
L	1st ST
STOP AND REGROUP	
INTO 	BASELINE RD
L	GLENDORA AV
R	RTE 66
INTO 	FOOTHILL BL
R	SAN DIMAS CYN RD
STOP AND REGROUP	
R	BONITA AV
L	EUCLA AV
INTO 	CIENEGA AV
L	LONE HILL AV
R	CYPRESS ST
L	BADILLO ST
STOP   STARBUCKS AT GRAND	
W	BADILLO ST
R	BARRANCA AV
L	CYPRESS ST
R	AZUSA CYN RD
STOP AND REGROUP	
INTO 	SANTA FE DAM
R   ONTO BIKE PATH 	
N	SGRBP
L	BIKE BRIDGE
R 	ENCANTO PKWY
L	ROYAL OAKS DR
R	SHAMROCK AV
L	COLORADO BLVD
R	PRIMROSE AV
