SILVER LAKE AND GRIFFITH PARK  
52.6 MI
http://veloroutes.org/r/92442	

W	CHESTNUT/SANTA CLARA
R	HUNTINGTON DR
R	MONTEREY RD
STOP AND REGROUP	
INTO	PASADENA AV
R	AV 65
STOP AND REGROUP	
L	POLLARD ST
R	AV 64
L	MERIDIAN ST
R	AV 49
L	STRATFORD ST
R	CAMPUS RD
L	ALUMNI AV
R	YORK BL
L	EAGLE ROCK BL
R	AV 36
STOP AND REGROUP	
INTO	FLETCHER DR
L	GLENDALE BL
R	SILVER LAKE BL
R	VAN PELT PL
R	SILVER LAKE DR
R	REDESDALE AV
R	SILVER LAKE DR
L	SILVER LAKE DR
L	ROWENA AV
STOP AND REGROUP	
	AT AVOCADO ST
L	AVOCADO ST
R	HILLHURST AV
R	VERMONT AV
INTO	VERMONT CYN RD
THRU TUNNEL	
STOP AND REGROUP	
R	MT HOLLYWOOD DR
STOP AND REGROUP	
	AT END OF MT HOLLYWOOD
L	GRIFFITH PARK DR
R	ZOO DR
L	RIVERSIDE DR
R	SONORA AV
L	GLENOAKS BL
STOP  	PARADISE BAKERY
	1825 W Glenoaks Blvd
R	IRVING AV
R	KENNETH RD
R	MARYLAND AV
L	MOUNTAIN ST
L	VERDUGO RD
STOP AND REGROUP	
L	CANADA BL
L	VERDUGO RD
R	VERDUGO BL
R	DESCANSO RD
STOP AND REGROUP	
R	CHEVY CHASE DR
L	BERKSHIRE AV
INTO	HIGHLAND DR
L	210 OVERPASS
R	OAK GROVE DR
INTO	WOODBURY RD
L	MAR VISTA AV
STOP AND REGROUP	
R	NEW YORK DR
L	SIERRA MADRE BL
R	ELEVADO AV
L	VIRGINIA RD
R	HIGHLAND OAKS DR
L	SYCAMORE AV
R	2nd AV
L	COLORADO AVE
R	PRIMROSE AV
L	CHESTNUT AV
