STOUGH CANYON - B ROUTE
46.3 MI
http://veloroutes.org/r/92419	

S	PRIMROSE AV
W	CHESTNUT/SANTA CLARA
R	1st AV/HIGHLAND OAKS DR
L  JOG	ORANGE GROVE AV
R	SUNNYSIDE AV
L  	SIERRA MADRE BL
R	PALOMA ST
STOP AND REGROUP	
L  	HILL ST
R	ORANGE GROVE BL
R	COLORADO BL
R	BROADWAY
INTO	WILSON AV
R	VERDUGO RD
L	GLENOAKS BL
INTO	ROSSMOYNE AV
R	ROSSMOYNE AV
L	MOUNTAIN ST
STOP AND REGROUP	
R	CENTRAL AV
L	KENNETH RD
R	GRANDVIEW AV
L	BEL AIRE DR
L	CAMBRIDGE DR
L	KENNETH RD
R	IRVING AVE
STOP AT CORNER OF GLENOAKS	
L   ON  SIDEWALK   	
	PARADISE BAKERY
	1825 GLENOAKS BL
N	IRVING AVE
R	GLENWOOD RD
R	GRANDVIEW AV
L	GLENOAKS BL
R	JACKSON ST
STOP AND REGROUP	
L	WILSON AV
R	VERDUGO RD
L	COLORADO ST
R	COLORADO BL
R	ELLENWOOD DR
L	FAIR PARK AV
Q  R	ELLENWOOD DR
L	YOSEMITE DR
R	FIGUEROA ST
L	YORK BL
INTO	PASADENA AV
STOP AND REGROUP	
INTO	MONTEREY RD
R	VIRGINIA RD
L	HUNTINGTON DR
INTO	SANTA CLARA / CHESTNUT
L	PRIMROSE AV
