THREE HEIGHTS
51.9 MI	
http://veloroutes.org/r/92469	

S	PRIMROSE AV
L	COLORADO BLVD
R	SHAMROCK AV
L	ROYAL OAKS DR
R	ENCANTO PKWY
L	BIKE BRIDGE
STOP AND REGROUP	
R  S	SGRBT
EXIT SANTE FE DAM	
INTO	AZUSA CANYON RD
L	CYPRESS ST
R	LARK ELLEN AV
STOP AND REGROUP	
L	AMAR RD
R	SHADOW OAK DR
R	NOGALES ST
L	PUENTE RD
R	LEMON AV
L	LYCOMING ST
STOP AND REGROUP	
R	BREA CANYON RD
L	PATHFINDER
R	BREA CANYON RD
STOP AND REGROUP	
R	DIAMOND BAR BL
INTO	BREA CYN CUT-OFF RD
L	FULLERTON RD
R	EAST RD
STOP AND REGROUP	
L	HACIENDA RD
R	WEST RD
STOP AND REGROUP	
R	CONDESSA DR
R	LA SERMA DR
L	YOUNGBLOOD DR
R	VILLAVERDE DR
L	MAR VISTA ST
STOP AND REGROUP	
R	GREENLEAF AV
STOP  	COFFEE BEAN & TEA
	7201 GREENLEAF
N	GREENLEAF AV
L	HADLEY ST
R	PICKERING AV
L	BEVERLY DR
R	CITRUS AV
L	BEVERLY DR
STOP AND REGROUP	
R	WORKMAN MILL RD
INTO	PECK RD
INTO	DURFEE AV
L	RUSH ST
STOP AND REGROUP	
R	PECK RD
INTO	MYRTLE AV
