TURNBULL CANYON W/COFFEE IN GLENDORA 
42.6 MI
http://veloroutes.org/r/92434	

S	MYRTLE AVE
INTO	PECK RD
L	RUSH ST
STOP AND REGROUP	
R	DURFEE AV
INTO	PECK RD
INTO	WORKMAN MILL RD
L	BEVERLY BL
STOP AND REGROUP	
INTO	TURNBULL CYN
INTO	LAS LOMITAS DR
INTO	TETLEY ST
L	HACIENDA BL
STOP AND REGROUP	
INTO	GLENDORA AV
INTO	VINCENT AV
R	BADILLO ST
STOP AND REGROUP	
L	GLENDORA AV
STOP Classic Coffee, 148 N. Glendora 	
N	GLENDORA AV
L	LEADORA AV
R	BARRANCA AV
L	SIERRA MADRE AV
STOP AND REGROUP	
R	TODD AV
L	SGRBT 
R	BIKE BRIDGE
R	ENCANTO PKWY
L	ROYAL OAKS DR
R	CALIFORNIA AV
L	COLORADO BLVD
R	PRIMROSE AV
